0.315416, nan, nan, nan, nan, nan, nan, nan
nan, 1, 0.0001, 0.01, 0.444711, 0.351642, nan, 1431.78
nan, 1, 1e-05, 0.01, 0.17119, 0.326528, nan, 1720.41
nan, 1, 0.001, 0.1, 0, 0, nan, nan
nan, 1, 0.0001, 0.1, 0.388327, 0.29531, nan, 1425.77
nan, 2, 0.0001, 0.01, 0.232723, 0.292977, nan, 1487.7
nan, 2, 1e-05, 0.01, 0.615338, 0.602676, nan, 1626.98
nan, 2, 0.001, 0.1, 0, 0, nan, nan
nan, 2, 0.0001, 0.1, 0.205322, 0.162864, nan, 1594.68
nan, 4, 0.0001, 0.01, 0.401831, 0.301965, nan, 1407.05
nan, 4, 1e-05, 0.01, 0.62077, 0.643845, nan, 1609.47
nan, 4, 0.001, 0.1, 0, 0, nan, nan
nan, 4, 0.0001, 0.1, 0.395246, 0.404841, nan, 1426.68
nan, 8, 0.0001, 0.01, 0.22009, 0.302933, nan, 1391.77
nan, 8, 1e-05, 0.01, 0.003234, 0.0453841, nan, 1656.74
nan, 8, 0.001, 0.1, 0.31746, 0.30682, nan, 976.185
nan, 8, 0.0001, 0.1, 0.256587, 0.231302, nan, 1503.69
nan, 16, 0.0001, 0.01, 0.379422, 0.397656, nan, 1429.08
nan, 16, 1e-05, 0.01, 0.056401, 0.0343839, nan, 1891.81
nan, 16, 0.001, 0.1, 0, 0, nan, nan
nan, 16, 0.0001, 0.1, 0.363286, 0.434508, nan, 1464.55
nan, 100, 0.001, 0, 0.299017, nan, 0.001038, 1097.82
nan, 100, 0.005, 0, 0.29797, nan, 0.010905, 776.478
nan, 100, 0.01, 0, 0.341672, nan, 0.030966, 566.938
nan, 100, 0.05, 0, 0.322335, nan, 0.316332, 242.246
