0.171197, nan, nan, nan, nan, nan, nan, nan
nan, 1, 0.0001, 0.01, 0.150752, 0.169295, nan, 1349.58
nan, 1, 1e-05, 0.01, 0.197316, 0.210577, nan, 1701.03
nan, 1, 0.001, 0.1, 0, 0, nan, nan
nan, 1, 0.0001, 0.1, 0.177964, 0.159306, nan, 1373.14
nan, 2, 0.0001, 0.01, 0.162754, 0.133689, nan, 1466.41
nan, 2, 1e-05, 0.01, 0.268954, 0.207122, nan, 1740.62
nan, 2, 0.001, 0.1, 0, 0, nan, nan
nan, 2, 0.0001, 0.1, 0.217191, 0.2259, nan, 1364.12
nan, 4, 0.0001, 0.01, 0.10536, 0.115471, nan, 1415.25
nan, 4, 1e-05, 0.01, 0.338324, 0.198083, nan, 1858.67
nan, 4, 0.001, 0.1, 0.148475, 0.152468, nan, 624.759
nan, 4, 0.0001, 0.1, 0.129806, 0.134532, nan, 1336.66
nan, 8, 0.0001, 0.01, 0.130868, 0.129883, nan, 1299.7
nan, 8, 1e-05, 0.01, 0.126937, 0.119889, nan, 1755.34
nan, 8, 0.001, 0.1, 0, 0, nan, nan
nan, 8, 0.0001, 0.1, 0.239279, 0.217764, nan, 1410.82
nan, 16, 0.0001, 0.01, 0.211609, 0.185898, nan, 1486.22
nan, 16, 1e-05, 0.01, 0.097631, 0.224413, nan, 1805.6
nan, 16, 0.001, 0.1, 0.155042, 0.154969, nan, 652.891
nan, 16, 0.0001, 0.1, 0.110928, 0.142252, nan, 1312.79
nan, 100, 0.001, 0, 0.171053, nan, 0.001082, 823.045
nan, 100, 0.005, 0, 0.168027, nan, 0.012693, 319.257
nan, 100, 0.01, 0, 0.175955, nan, 0.035592, 166.415
nan, 100, 0.05, 0, 0.171986, nan, 0.357977, 48.4451
