0.175587, nan, nan, nan, nan, nan, nan, nan
nan, 1, 0.0001, 0.01, 0.167103, 0.16363, nan, 1452.43
nan, 1, 1e-05, 0.01, 0.089281, 0.106954, nan, 1836.12
nan, 1, 0.001, 0.1, 0, 0, nan, nan
nan, 1, 0.0001, 0.1, 0.172402, 0.179038, nan, 1381.43
nan, 2, 0.0001, 0.01, 0.159106, 0.161662, nan, 1321.08
nan, 2, 1e-05, 0.01, 0.111807, 0.149092, nan, 1810.72
nan, 2, 0.001, 0.1, 0, 0, nan, nan
nan, 2, 0.0001, 0.1, 0.171547, 0.157957, nan, 1457.91
nan, 4, 0.0001, 0.01, 0.120007, 0.159377, nan, 1339.9
nan, 4, 1e-05, 0.01, 0.167713, 0.150501, nan, 1818.34
nan, 4, 0.001, 0.1, 0, 0, nan, nan
nan, 4, 0.0001, 0.1, 0.178385, 0.163547, nan, 1452.67
nan, 8, 0.0001, 0.01, 0.168951, 0.180062, nan, 1462.59
nan, 8, 1e-05, 0.01, 0.043291, 0.0954722, nan, 1593.55
nan, 8, 0.001, 0.1, 0.166178, 0.152729, nan, 580.867
nan, 8, 0.0001, 0.1, 0.165308, 0.161535, nan, 1439.23
nan, 16, 0.0001, 0.01, 0.142224, 0.151114, nan, 1344.56
nan, 16, 1e-05, 0.01, 0.179053, 0.161395, nan, 1818.67
nan, 16, 0.001, 0.1, 0, 0, nan, nan
nan, 16, 0.0001, 0.1, 0.15095, 0.128124, nan, 1480.24
nan, 100, 0.001, 0, 0.197108, nan, 0.001038, 887.412
nan, 100, 0.005, 0, 0.180807, nan, 0.010905, 220.304
nan, 100, 0.01, 0, 0.166864, nan, 0.030966, 107.158
nan, 100, 0.05, 0, 0.17186, nan, 0.316332, 33.5708
