0.287313, nan, nan, nan, nan, nan, nan, nan
nan, 1, 0.0001, 0.01, 0.156429, 0.218663, nan, 1427.55
nan, 1, 1e-05, 0.01, 0.504155, 0.290196, nan, 1828.63
nan, 1, 0.001, 0.1, 0, 0, nan, nan
nan, 1, 0.0001, 0.1, 0.194391, 0.234163, nan, 1478.04
nan, 2, 0.0001, 0.01, 0.387639, 0.306537, nan, 1495.75
nan, 2, 1e-05, 0.01, 0, 0, nan, nan
nan, 2, 0.001, 0.1, 0, 0, nan, nan
nan, 2, 0.0001, 0.1, 0.385242, 0.426493, nan, 1400.07
nan, 4, 0.0001, 0.01, 0.212278, 0.282243, nan, 1506.38
nan, 4, 1e-05, 0.01, 0, 0, nan, nan
nan, 4, 0.001, 0.1, 0, 0, nan, nan
nan, 4, 0.0001, 0.1, 0.19841, 0.175997, nan, 1486.85
nan, 8, 0.0001, 0.01, 0.377107, 0.281338, nan, 1497.54
nan, 8, 1e-05, 0.01, 0.756589, 0.624696, nan, 1533
nan, 8, 0.001, 0.1, 0.264304, 0.245061, nan, 989.071
nan, 8, 0.0001, 0.1, 0.334007, 0.363485, nan, 1498.36
nan, 16, 0.0001, 0.01, 0.237894, 0.220365, nan, 1548.35
nan, 16, 1e-05, 0.01, 0.529994, 0.584803, nan, 1611.98
nan, 16, 0.001, 0.1, 0, 0, nan, nan
nan, 16, 0.0001, 0.1, 0.237581, 0.183195, nan, 1573.79
nan, 100, 0.001, 0, 0.286194, nan, 0.001038, 1177.21
nan, 100, 0.005, 0, 0.296583, nan, 0.010905, 775.16
nan, 100, 0.01, 0, 0.265974, nan, 0.030966, 607.805
nan, 100, 0.05, 0, 0.281314, nan, 0.316332, 267.099
